numero	nome_atual	grupo	equipamento	queixa_do_hugo	classe	nome_novo	status
34	Supino com pegada neutra	Peito	Halteres	retirar	RETIRAR		podado no código (não deployado)
35	Supino declinado	Peito	Barra	movimento errado	VIDEO		vídeo na fila
36	Supino declinado com halteres	Peito	Halteres	posição do banco errado	VIDEO		vídeo INSTALADO (17/09)
37	Supino declinado na máquina	Peito	Máquina	retirar	RETIRAR		podado no código (não deployado)
38	Supino declinado no smith	Peito	Smith	retirar	RETIRAR		podado no código (não deployado)
39	Supino inclinado	Peito	Barra	supino inclinado banco	VIDEO		vídeo na fila
40	Supino inclinado com halteres	Peito	Halteres	✅	OK		nada a fazer
41	Supino inclinado com pegada neutra	Peito	Halteres	retirar	RETIRAR		podado no código (não deployado)
42	Supino inclinado na máquina	Peito	Máquina	✅	OK		nada a fazer
43	Supino inclinado no smith	Peito	Smith	✅	OK		nada a fazer
44	Supino inclinado unilateral com halter	Peito	Halter	retirar	RETIRAR		podado no código (não deployado)
45	Supino máquina	Peito	Máquina	movimento errado	VIDEO		vídeo INSTALADO (17/09)
46	Supino máquina convergente	Peito	Máquina	retirar	RETIRAR		podado no código (não deployado)
47	Supino no chão (floor press)	Peito	Barra	retirar	RETIRAR		podado no código (não deployado)
48	Supino reto	Peito	Barra	✅	OK		nada a fazer
49	Supino reto no smith	Peito	Smith	✅	OK		nada a fazer
50	Voador na máquina unilateral	Peito	Máquina	retirar	RETIRAR		podado no código (não deployado)
51	Barra fixa (pull-up)	Costas	Peso corporal	✅	OK		nada a fazer
52	Barra fixa com elástico (assistida)	Costas	Elástico	✅	OK		nada a fazer
53	Barra fixa com peso	Costas	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
54	Barra fixa nas argolas	Costas	Argolas	retirar	RETIRAR		podado no código (não deployado)
55	Barra fixa pegada neutra	Costas	Peso corporal	✅	OK		nada a fazer
56	Barra fixa pegada supinada (chin-up)	Costas	Peso corporal	pegada está errada	VIDEO		vídeo INSTALADO (17/09)
57	Bom dia com barra	Costas	Barra	retirar o peso da barra	VIDEO		vídeo na fila
58	Encolhimento na polia	Costas	Polia	Retirar	RETIRAR		podado no código (não deployado)
59	Extensão lombar na máquina	Costas	Máquina	movimento e máquina errada	VIDEO		vídeo INSTALADO (17/09)
60	Face pull	Costas	Polia	melhorar movimento	VIDEO		vídeo na fila
61	Face pull com elástico	Costas	Elástico	retirar	RETIRAR		podado no código (não deployado)
62	Face pull na polia alta	Costas	Polia	retirar	RETIRAR		podado no código (não deployado)
63	Hiperextensão lombar	Costas	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
64	Levantamento terra com halteres	Costas	Halteres	melhor movimento	VIDEO		vídeo INSTALADO (17/09)
65	Levantamento terra com trap bar	Costas	Barra	levantamento terra c/barra hexagonal	NOME	levantamento terra c	rename PENDENTE
66	Levantamento terra romeno com halteres	Costas	Halteres	retirar	RETIRAR		podado no código (não deployado)
67	Levantamento terra sumô	Costas	Barra	retirar	RETIRAR		podado no código (não deployado)
68	Pull-up negativa	Costas	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
69	Pulldown com braços estendidos	Costas	Polia	retirar	RETIRAR		podado no código (não deployado)
70	Puxada articulada na máquina	Costas	Máquina	puxada frente	NOME	puxada frente	rename PENDENTE
71	Puxada frontal	Costas	Polia	retirar	RETIRAR		podado no código (não deployado)
72	Puxada frontal ajoelhado na polia	Costas	Polia	✅	OK		nada a fazer
73	Puxada frontal com pegada em V	Costas	Polia	retirar	RETIRAR		podado no código (não deployado)
74	Puxada frontal pegada aberta	Costas	Polia	retirar	RETIRAR		podado no código (não deployado)
75	Puxada frontal pegada neutra	Costas	Polia	banco e pegada errada	VIDEO		vídeo na fila
76	Puxada frontal pegada supinada	Costas	Polia	pegada errada	VIDEO		vídeo na fila
77	Puxada frontal unilateral	Costas	Polia	retirar	RETIRAR		podado no código (não deployado)
78	Puxada na máquina sentado	Costas	Máquina	retirar	RETIRAR		podado no código (não deployado)
79	Puxada por trás	Costas	Polia	retirar	RETIRAR		podado no código (não deployado)
80	Puxador triângulo	Costas	Polia	puxada triângulo/ pegada errada	NOME+VIDEO	puxada triângulo	vídeo na fila + rename PENDENTE
81	Remada alta na polia	Costas	Polia	✅	OK		nada a fazer
82	Remada baixa	Costas	Polia	movimento errado	VIDEO		vídeo na fila
83	Remada baixa com corda	Costas	Polia	remada com argola/ melhor movimento	NOME+VIDEO	remada com argola	vídeo na fila + rename PENDENTE
84	Remada baixa pegada aberta	Costas	Polia	retirar	RETIRAR		podado no código (não deployado)
85	Remada baixa unilateral	Costas	Polia	✅	OK		nada a fazer
86	Remada cavalinho	Costas	Barra T	retirar	RETIRAR		podado no código (não deployado)
87	Remada cavalinho com pegada neutra	Costas	Barra T	retirar	RETIRAR		podado no código (não deployado)
88	Remada com kettlebell	Costas	Kettlebell	remada unilateral com kettblell	NOME	remada unilateral com kettblell	rename PENDENTE
89	Remada curvada	Costas	Barra	✅ remada curvada barra	OK+NOME	remada curvada barra	rename PENDENTE
90	Remada curvada com halteres	Costas	Halteres	melhorar movimento	VIDEO		vídeo INSTALADO (17/09)
91	Remada curvada no smith	Costas	Smith	retirar	RETIRAR		podado no código (não deployado)
92	Remada curvada pegada supinada	Costas	Barra	pegada está errada	VIDEO		vídeo na fila
93	Remada invertida no TRX	Costas	TRX	✅	OK		nada a fazer
94	Remada máquina	Costas	Máquina	remada aberta máquina	NOME	remada aberta máquina	rename PENDENTE + vídeo regerado sem o Hugo pedir (aprovado e instalado em 17/09)
95	Remada máquina pegada neutra	Costas	Máquina	retirar	RETIRAR		podado no código (não deployado)
96	Remada máquina unilateral	Costas	Máquina	retirar	RETIRAR		podado no código (não deployado)
97	Remada nas argolas com pés elevados	Costas	Argolas	retirar	RETIRAR		podado no código (não deployado)
98	Remada no banco inclinado	Costas	Halteres	✅	OK		nada a fazer
99	Remada Pendlay	Costas	Barra	retirar	RETIRAR		podado no código (não deployado)
100	Remada serrote	Costas	Halter	✅	OK		nada a fazer
101	Remada unilateral com halter	Costas	Halteres	✅	OK		nada a fazer
102	Superman no solo	Costas	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
103	Crucifixo invertido	Ombros	Máquina	retirar	RETIRAR		podado no código (não deployado)
104	Crucifixo invertido na máquina	Ombros	Máquina	retirar	RETIRAR		podado no código (não deployado)
105	Crucifixo invertido na polia	Ombros	Polia	retirar	RETIRAR		podado no código (não deployado)
106	Crucifixo invertido no banco inclinado	Ombros	Halteres	✅	OK		nada a fazer
107	Crucifixo invertido sentado curvado	Ombros	Halteres	✅	OK		nada a fazer
108	Desenvolvimento alternado com halteres	Ombros	Halteres	✅	OK		nada a fazer
109	Desenvolvimento Arnold	Ombros	Halteres	✅	OK		nada a fazer
110	Desenvolvimento com halteres	Ombros	Halteres	ok ✅	OK		nada a fazer
111	Desenvolvimento com pegada neutra	Ombros	Halteres	retirar	RETIRAR		podado no código (não deployado)
112	Desenvolvimento em parada de mão na parede	Ombros	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
113	Desenvolvimento em pé com halteres	Ombros	Halteres	ok ✅	OK		nada a fazer
114	Desenvolvimento militar	Ombros	Barra	retirar	RETIRAR		podado no código (não deployado)
115	Desenvolvimento na máquina	Ombros	Máquina	máquina errada	VIDEO		vídeo INSTALADO (17/09)
116	Desenvolvimento no smith	Ombros	Smith	✅	OK		nada a fazer
117	Desenvolvimento por trás da nuca	Ombros	Barra	retirar	RETIRAR		podado no código (não deployado)
118	Desenvolvimento sentado com barra	Ombros	Barra	retirar	RETIRAR		podado no código (não deployado)
119	Desenvolvimento sentado com halteres	Ombros	Halteres	retirar	RETIRAR		podado no código (não deployado)
120	Desenvolvimento unilateral com halter	Ombros	Halter	retirar	RETIRAR		podado no código (não deployado)
121	Elevação em Y no banco inclinado	Ombros	Halteres	retirar	RETIRAR		podado no código (não deployado)
122	Elevação frontal	Ombros	Halteres	✅	OK		nada a fazer
123	Elevação frontal alternada	Ombros	Halteres	✅	OK		nada a fazer
124	Elevação frontal com anilha	Ombros	Anilha	✅	OK		nada a fazer
125	Elevação frontal com barra	Ombros	Barra	retirar	RETIRAR		podado no código (não deployado)
126	Elevação frontal na polia	Ombros	Polia	retirar	RETIRAR		podado no código (não deployado)
127	Elevação lateral	Ombros	Halteres	✅	OK		nada a fazer
128	Elevação lateral com elástico	Ombros	Elástico	✅	OK		nada a fazer
129	Elevação lateral com halteres em pé	Ombros	Halteres	retirar	RETIRAR		podado no código (não deployado)
130	Elevação lateral na máquina	Ombros	Máquina	retirar	RETIRAR		podado no código (não deployado)
131	Elevação lateral na polia	Ombros	Polia	retirar	RETIRAR		podado no código (não deployado)
132	Elevação lateral sentado	Ombros	Halteres	✅	OK		nada a fazer
133	Elevação lateral unilateral na polia	Ombros	Polia	✅	OK		nada a fazer
134	Face pull ajoelhado	Ombros	Polia	✅	OK		nada a fazer
135	Flexão de braço em pique (pike push-up)	Ombros	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
136	Parada de mão na parede	Ombros	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
137	Press militar estrito	Ombros	Barra	desenvolvimento lateral com barra em pé	NOME	desenvolvimento lateral com barra em pé	rename PENDENTE
138	Push press	Ombros	Barra	✅ movimento do Crossfit	OK		nada a fazer
139	Remada alta	Ombros	Barra	remada alta com barra	NOME	remada alta com barra	rename PENDENTE
140	Remada alta na polia baixa	Ombros	Polia	tirar o cabo da polia de cima e melhorar o movimento	VIDEO		vídeo na fila
141	Rotação externa com elástico	Ombros	Elástico	movimento errado	VIDEO		vídeo na fila
142	Rotação externa na polia	Ombros	Polia	movimento errado	VIDEO		vídeo na fila
143	Rotação interna na polia	Ombros	Polia	movimento errado	VIDEO		vídeo na fila
144	Rosca 21	Bíceps	Barra	rosca direta com barra reta	NOME	rosca direta com barra reta	rename PENDENTE
145	Rosca 21 com halteres	Bíceps	Halteres	rosca direta com halteres	NOME	rosca direta com halteres	rename PENDENTE
146	Rosca alternada	Bíceps	Halteres	✅	OK		nada a fazer
147	Rosca alternada com rotação	Bíceps	Halteres	retirar	RETIRAR		podado no código (não deployado)
148	Rosca bayesiana com o braço atrás do corpo	Bíceps	Polia	retirar	RETIRAR		podado no código (não deployado)
149	Rosca com corda na polia baixa	Bíceps	Polia	trocar a corda naval pela corda na polia	VIDEO		vídeo INSTALADO (17/09)
150	Rosca concentrada	Bíceps	Halter	✅	OK		nada a fazer
151	Rosca concentrada na polia	Bíceps	Polia	retirar	RETIRAR		podado no código (não deployado)
152	Rosca de bíceps na máquina	Bíceps	Máquina	retirar	RETIRAR		podado no código (não deployado)
153	Rosca de bíceps sentado com halteres	Bíceps	Halteres	colocar sentado com o encosto do banco na vertical	VIDEO		vídeo INSTALADO (17/09)
154	Rosca direta	Bíceps	Barra	retirar	RETIRAR		podado no código (não deployado)
155	Rosca direta com barra W	Bíceps	Barra W	ajustar a barra	VIDEO		vídeo na fila
156	Rosca direta com elástico	Bíceps	Elástico	✅	OK		nada a fazer
157	Rosca direta com halteres	Bíceps	Halteres	retirar	RETIRAR		podado no código (não deployado)
158	Rosca direta na polia	Bíceps	Polia	vídeo errado (ajustar a barra, polia…)	VIDEO		vídeo INSTALADO (17/09)
159	Rosca inclinada no banco	Bíceps	Halteres	✅	OK		nada a fazer
160	Rosca inversa	Bíceps	Barra	mudar a pegada	VIDEO		vídeo na fila
161	Rosca invertida na polia	Bíceps	Polia	vídeo errado (ajustar a barra, pegada e posição da pessoa)	VIDEO		vídeo INSTALADO (17/09)
162	Rosca martelo	Bíceps	Halteres	rosca martelo com halteres - mudar a pegada para neutra	NOME+VIDEO	rosca martelo com halteres	vídeo INSTALADO (17/09) + rename PENDENTE
163	Rosca martelo alternada	Bíceps	Halteres	mudar a pegada para neutra	VIDEO		vídeo INSTALADO (17/09)
164	Rosca martelo na corda	Bíceps	Polia	retirar	RETIRAR		podado no código (não deployado)
165	Rosca nas argolas	Bíceps	Argolas	retirar	RETIRAR		podado no código (não deployado)
166	Rosca Scott	Bíceps	Barra W	nome: rosca scott com barra reta (ajustar a barra)	NOME+VIDEO	rosca scott com barra reta	vídeo na fila + rename PENDENTE
167	Rosca Scott com barra W	Bíceps	Barra W	ajustar a barra	VIDEO		vídeo na fila
168	Rosca Scott com halter unilateral	Bíceps	Halter	ajustar o banco	VIDEO		vídeo INSTALADO (17/09)
169	Rosca Scott na máquina	Bíceps	Máquina	✅	OK		nada a fazer
170	Rosca spider	Bíceps	Barra W	✅	OK		nada a fazer
171	Extensão de tríceps com elástico	Tríceps	Elástico	retirar	RETIRAR		podado no código (não deployado)
172	Extensão de tríceps deitado com halteres neutro	Tríceps	Halteres	retirar	RETIRAR		podado no código (não deployado)
173	Extensão de tríceps na máquina	Tríceps	Máquina	máquina errada e trocar o nome por tríceps testa na máquina	NOME+VIDEO	máquina errada e trocar o nome por tríceps testa na máquina	vídeo INSTALADO (17/09) + rename PENDENTE
174	Extensão de tríceps nas argolas	Tríceps	Argolas	retirar	RETIRAR		podado no código (não deployado)
175	Extensão de tríceps unilateral	Tríceps	Polia	tríceps unilateral na polia alta	NOME	tríceps unilateral na polia alta	rename PENDENTE
176	Flexão diamante para tríceps	Tríceps	Peso corporal	melhorar o movimento	VIDEO		vídeo INSTALADO (17/09)
177	Mergulho entre bancos	Tríceps	Peso corporal	tríceps banco livre com pés suspensos	NOME+VIDEO	tríceps banco livre com pés suspensos	vídeo INSTALADO (17/09) + rename PENDENTE
178	Mergulho na máquina assistida	Tríceps	Máquina	paralela no gráviton	NOME	paralela no gráviton	rename PENDENTE
179	Mergulho nas paralelas	Tríceps	Peso corporal	paralela livre	NOME	paralela livre	rename PENDENTE
180	Mergulho no banco	Tríceps	Peso corporal	tríceps banco livre (melhorar o movimento, manter os pés no chão)	NOME+VIDEO	tríceps banco livre	vídeo INSTALADO (17/09) + rename PENDENTE
181	Supino fechado com halteres	Tríceps	Halteres	supino inclinado com halteres	NOME	supino inclinado com halteres	rename PENDENTE
182	Supino fechado no smith	Tríceps	Smith	supino inclinado no smith	NOME	supino inclinado no smith	rename PENDENTE
183	Tríceps coice bilateral	Tríceps	Halteres	crucifixo inverso com halter	NOME	crucifixo inverso com halter	rename PENDENTE
184	Tríceps coice com halter	Tríceps	Halter	melhorar o movimento	VIDEO		vídeo INSTALADO (17/09)
185	Tríceps coice na polia	Tríceps	Polia	exercício errado	VIDEO		vídeo INSTALADO (17/09)
186	Tríceps corda	Tríceps	Polia	melhorar o movimento	VIDEO		vídeo INSTALADO (17/09)
187	Tríceps corda acima da cabeça	Tríceps	Polia	retirar	RETIRAR		podado no código (não deployado)
188	Tríceps francês	Tríceps	Halter	✅ nome: tríceps francês com anilha	OK+NOME	tríceps francês com anilha	rename PENDENTE
189	Tríceps francês na polia	Tríceps	Polia	mudar a barra e deixar ele em pé	VIDEO		vídeo INSTALADO (17/09)
190	Tríceps francês sentado com halter	Tríceps	Halter	ajustar o halter	VIDEO		vídeo INSTALADO (17/09)
191	Tríceps francês unilateral	Tríceps	Halter	✅	OK		nada a fazer
192	Tríceps na máquina unilateral	Tríceps	Máquina	retirar	RETIRAR		podado no código (não deployado)
193	Tríceps na polia com barra V	Tríceps	Polia	ajustar a barra	VIDEO		vídeo INSTALADO (17/09)
194	Tríceps na polia com pegada cruzada	Tríceps	Polia	ajustar o vídeo	VIDEO		vídeo INSTALADO (17/09)
195	Tríceps na polia pegada supinada	Tríceps	Polia	movimento errado	VIDEO		vídeo INSTALADO (17/09)
196	Tríceps na polia unilateral	Tríceps	Polia	retirar	RETIRAR		podado no código (não deployado)
197	Tríceps pulley barra reta	Tríceps	Polia	ajustar a pegada e posição do aluno	VIDEO		vídeo INSTALADO (17/09)
198	Tríceps testa	Tríceps	Barra W	movimento errado	VIDEO		vídeo na fila
199	Tríceps testa com barra W	Tríceps	Barra W	movimento errado	VIDEO		vídeo na fila
200	Tríceps testa com elástico	Tríceps	Elástico	retirar	RETIRAR		podado no código (não deployado)
201	Tríceps testa com halteres	Tríceps	Halteres	melhorar o movimento	VIDEO		vídeo na fila
202	Tríceps testa na polia baixa	Tríceps	Polia	retirar	RETIRAR		podado no código (não deployado)
203	Farmer walk	Antebraço	Halteres	✅	OK		nada a fazer
204	Rosca de punho	Antebraço	Barra	retirar	RETIRAR		podado no código (não deployado)
205	Rosca de punho com halteres	Antebraço	Halteres	retirar	RETIRAR		podado no código (não deployado)
206	Rosca de punho invertida	Antebraço	Barra	retirar	RETIRAR		podado no código (não deployado)
207	Rosca de punho invertida com halteres	Antebraço	Halteres	retirar	RETIRAR		podado no código (não deployado)
208	Rosca inversa em pé	Antebraço	Barra	retirar	RETIRAR		podado no código (não deployado)
209	Suspensão na barra (dead hang)	Antebraço	Peso corporal	✅	OK		nada a fazer
210	Elevação em Y na polia	Trapézio	Polia	retirar	RETIRAR		podado no código (não deployado)
211	Encolhimento com halteres	Trapézio	Halteres	melhorar movimento	VIDEO		vídeo na fila
212	Encolhimento com kettlebell	Trapézio	Kettlebell	✅	OK		nada a fazer
213	Encolhimento de ombros com barra	Trapézio	Barra	✅	OK		nada a fazer
214	Encolhimento inclinado no banco	Trapézio	Halteres	retirar	RETIRAR		podado no código (não deployado)
215	Encolhimento na máquina	Trapézio	Máquina	retirar	RETIRAR		podado no código (não deployado)
216	Encolhimento no smith	Trapézio	Smith	ajustar o movimento	VIDEO		vídeo na fila
217	Encolhimento unilateral com halter	Trapézio	Halter	retirar	RETIRAR		podado no código (não deployado)
218	Puxada alta no cavalete	Trapézio	Barra	retirar	RETIRAR		podado no código (não deployado)
219	Remada alta explosiva	Trapézio	Barra	retirar	RETIRAR		podado no código (não deployado)
220	Afundo	Pernas	Halteres	mudar o nome: avanço alternado	NOME	avanço alternado	rename PENDENTE
221	Afundo com barra	Pernas	Barra	mudar o nome: avanço alternado com barra	NOME	avanço alternado com barra	rename PENDENTE
222	Afundo com halteres	Pernas	Halteres	mudar o nome: recuo com halteres	NOME	recuo com halteres	rename PENDENTE
223	Afundo lateral	Pernas	Halteres	retirar	RETIRAR		podado no código (não deployado)
224	Afundo reverso	Pernas	Halteres	retirar	RETIRAR		podado no código (não deployado)
225	Afundo reverso com barra	Pernas	Barra	mudar o nome: recuo com barra	NOME	recuo com barra	rename PENDENTE
226	Agachamento box squat	Pernas	Barra	retirar	RETIRAR		podado no código (não deployado)
227	Agachamento búlgaro	Pernas	Halteres	✅	OK		nada a fazer
228	Agachamento búlgaro com halteres	Pernas	Halteres	✅	OK		nada a fazer
229	Agachamento com barra alta	Pernas	Barra	mudar o nome: agachamento com barra	NOME	agachamento com barra	rename PENDENTE
230	Agachamento com barra baixa	Pernas	Barra	retirar	RETIRAR		podado no código (não deployado)
231	Agachamento com deslocamento lateral na toalha	Pernas	Toalha	✅	OK		nada a fazer
232	Agachamento com elástico	Pernas	Elástico	✅	OK		nada a fazer
233	Agachamento com halteres	Pernas	Halteres	✅	OK		nada a fazer
234	Agachamento com kettlebell (goblet)	Pernas	Kettlebell	✅	OK		nada a fazer
235	Agachamento com peso corporal	Pernas	Peso corporal	melhorar o movimento	VIDEO		vídeo INSTALADO (17/09)
236	Agachamento com salto	Pernas	Peso corporal	✅	OK		nada a fazer
237	Agachamento cossaco	Pernas	Peso corporal	✅	OK		nada a fazer
238	Agachamento frontal	Pernas	Barra	passar a barra para frente	VIDEO		vídeo na fila
239	Agachamento frontal no smith	Pernas	Smith	✅	OK		nada a fazer
240	Agachamento isométrico na parede	Pernas	Peso corporal	✅	OK		nada a fazer
241	Agachamento livre	Pernas	Barra	✅	OK		nada a fazer
242	Agachamento livre com halteres (goblet squat)	Pernas	Halter	✅	OK		nada a fazer
243	Agachamento no smith	Pernas	Máquina	✅	OK		nada a fazer
244	Agachamento no TRX	Pernas	TRX	✅	OK		nada a fazer
245	Agachamento pausado	Pernas	Barra	retirar	RETIRAR		podado no código (não deployado)
246	Agachamento sissy	Pernas	Peso corporal	colocar a máquina	VIDEO		vídeo INSTALADO (17/09)
247	Agachamento sumô com halter	Pernas	Halter	nome: agachamento sumô com barra	NOME	agachamento sumô com barra	rename PENDENTE
248	Agachamento sumô com kettlebell	Pernas	Kettlebell	✅	OK		nada a fazer
249	Agachamento unilateral (pistol)	Pernas	Peso corporal	✅ movimento do Crossfit	OK		nada a fazer
250	Avanço em diagonal	Pernas	Halteres	retirar	RETIRAR		podado no código (não deployado)
251	Avanço estático	Pernas	Halteres	Nome: afundo com halter	NOME	afundo com halter	rename PENDENTE
252	Belt squat na máquina	Pernas	Máquina	Retirar	RETIRAR		podado no código (não deployado)
253	Cadeira extensora	Pernas	Máquina	✅	OK		nada a fazer
254	Cadeira extensora unilateral	Pernas	Máquina	Ajustar a máquina	VIDEO		vídeo INSTALADO (17/09)
255	Extensão de joelho com caneleira	Pernas	Caneleira	Ajustar o banco	VIDEO		vídeo na fila
256	Hack machine	Pernas	Máquina	✅	OK		nada a fazer
257	Leg press 45°	Pernas	Máquina	retirar	RETIRAR		podado no código (não deployado)
258	Leg press 45° unilateral	Pernas	Máquina	leg press horizontal	NOME	leg press horizontal	rename PENDENTE
259	Leg press horizontal	Pernas	Máquina	retirar	RETIRAR		podado no código (não deployado)
260	Leg press pés afastados	Pernas	Máquina	retirar	RETIRAR		podado no código (não deployado)
261	Leg press pés altos	Pernas	Máquina	retirar	RETIRAR		podado no código (não deployado)
262	Leg press pés baixos	Pernas	Máquina	retirar	RETIRAR		podado no código (não deployado)
263	Leg press pés juntos	Pernas	Máquina	retirar	RETIRAR		podado no código (não deployado)
264	Leg press unilateral	Pernas	Máquina	retirar	RETIRAR		podado no código (não deployado)
265	Leg press vertical	Pernas	Máquina	retirar	RETIRAR		podado no código (não deployado)
266	Passada (walking lunge)	Pernas	Halteres	✅	OK		nada a fazer
267	Passada com barra	Pernas	Barra	avanço com barra	NOME	avanço com barra	rename PENDENTE
268	Passada com halteres	Pernas	Halteres	retirar	RETIRAR		podado no código (não deployado)
269	Subida no step (step-up)	Pernas	Halteres	✅	OK		nada a fazer
270	Subida no step lateral	Pernas	Halteres	✅ (subida no banco lateral)	OK+NOME	subida no banco lateral	rename PENDENTE
271	Terra sumô com halteres	Pernas	Halteres	agachamento sumô com halteres - melhorar a pegada	NOME+VIDEO	agachamento sumô com halteres	vídeo na fila + rename PENDENTE
272	Balanço com kettlebell (swing)	Posterior	Kettlebell	✅	OK		nada a fazer
273	Bom dia sentado	Posterior	Barra	retirar	RETIRAR		podado no código (não deployado)
274	Cadeira flexora	Posterior	Máquina	cadeira Extensora (não é posterior)	NOME	cadeira Extensora	rename PENDENTE
275	Cadeira flexora unilateral	Posterior	Máquina	retirar	RETIRAR		podado no código (não deployado)
276	Elevação pélvica com perna estendida	Posterior	Peso corporal	elevação pélvica solo unilateral	NOME	elevação pélvica solo unilateral	rename PENDENTE + vídeo regerado sem o Hugo pedir (aprovado e instalado em 17/09)
277	Extensão de quadril na polia	Posterior	Polia	glúteo coice na polia - ajustar o movimento	NOME+VIDEO	glúteo coice na polia	vídeo na fila + rename PENDENTE
278	Flexão de joelho com caneleira	Posterior	Caneleira	retirar	RETIRAR		podado no código (não deployado)
279	Flexão nórdica	Posterior	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
280	Flexora em pé na máquina	Posterior	Máquina	ajeitar a máquina	VIDEO		vídeo INSTALADO (17/09)
281	Glute ham raise	Posterior	Máquina	retirar	RETIRAR		podado no código (não deployado)
282	Good morning	Posterior	Barra	✅	OK		nada a fazer
283	Good morning no smith	Posterior	Smith	✅	OK		nada a fazer
284	Hiperextensão com foco em posterior	Posterior	Peso corporal	✅	OK		nada a fazer
285	Levantamento terra	Posterior	Barra	✅ (levantamento terra com barra)	OK+NOME	levantamento terra com barra	rename PENDENTE
286	Levantamento terra romeno	Posterior	Barra	✅	OK		nada a fazer
287	Levantamento terra romeno unilateral	Posterior	Halter	✅ Stiff unilateral ou T ou avião	OK+NOME	Stiff unilateral ou T ou avião	rename PENDENTE
288	Mesa flexora	Posterior	Máquina	ajusta a maquina	VIDEO		vídeo INSTALADO (17/09)
289	Mesa flexora com pausa	Posterior	Máquina	retirar	RETIRAR		podado no código (não deployado)
290	Mesa flexora unilateral	Posterior	Máquina	retirar	RETIRAR		podado no código (não deployado)
291	Ponte de glúteo com uma perna	Posterior	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
292	Stiff	Posterior	Barra	✅	OK		nada a fazer
293	Stiff com halteres	Posterior	Halteres	✅	OK		nada a fazer
294	Stiff no smith	Posterior	Smith	✅	OK		nada a fazer
295	Stiff unilateral	Posterior	Halter	retirar	RETIRAR		podado no código (não deployado)
